employee_id,age,gender,years_at_company,job_role,monthly_income,work_life_balance,job_satisfaction,performance_rating,number_of_promotions,overtime,distance_from_home,education_level,marital_status,number_of_dependents,job_level,company_size,company_tenure,remote_work,leadership_opportunities,innovation_opportunities,company_reputation,employee_recognition,attrition
52685,36,2,13,2,8029,1,1,3,1,1,83,2,1,1,2,3,22,2,2,2,4,3,2
30585,35,2,7,1,4563,2,1,3,1,1,55,5,3,4,3,1,27,2,2,2,2,1,1
54656,50,2,7,1,5583,3,1,3,3,1,14,5,2,2,1,1,76,2,2,1,2,4,2
33442,58,2,44,4,5525,3,2,1,0,1,43,2,3,4,3,1,96,2,2,2,4,4,1
15667,39,2,24,1,4604,2,1,3,0,1,47,2,1,6,2,3,45,1,2,2,2,1,2
3496,45,1,30,2,8104,3,1,3,0,2,38,5,2,0,1,3,75,2,2,2,2,4,2
46775,22,1,5,2,8700,2,1,3,0,2,2,1,1,0,2,2,48,2,2,2,4,1,2
72645,34,1,15,5,11025,3,3,1,1,2,9,2,3,4,3,3,16,2,2,2,2,4,1
4941,48,1,40,5,11452,2,3,4,0,2,65,5,2,1,2,3,52,2,2,2,2,3,2
65181,55,1,16,4,5939,4,1,3,0,2,31,5,2,1,3,2,46,2,2,2,2,1,2
49522,32,1,12,2,8144,2,1,4,0,1,28,1,1,1,2,1,57,2,2,2,3,3,2
8195,26,1,15,3,4758,2,1,1,2,1,35,4,1,1,1,1,91,1,2,2,2,3,2
52948,45,1,3,4,6370,3,3,1,3,2,30,4,1,3,1,1,60,2,2,2,2,1,2
35067,42,2,3,2,8344,2,2,3,0,2,88,2,1,0,2,2,14,2,2,2,2,1,2
53650,35,1,5,3,10449,2,2,3,1,2,51,4,3,0,3,2,69,2,2,2,2,4,1
49803,52,1,44,5,12514,3,2,3,1,1,38,1,1,4,2,2,117,2,2,2,2,4,2
2213,42,2,14,1,5076,3,1,1,0,1,53,4,3,5,3,1,68,2,2,2,2,1,2
48091,37,2,28,5,8287,3,3,1,0,2,10,4,1,5,3,3,100,2,2,2,2,4,1
49462,56,2,24,2,8963,1,1,3,1,2,43,4,1,0,2,1,81,2,2,2,2,1,2
16073,21,1,1,2,7869,3,1,1,0,2,23,2,1,0,1,3,64,2,2,1,2,4,2
54967,47,1,11,4,6664,3,1,3,1,2,77,5,3,4,2,2,41,2,2,2,2,1,1
35183,47,1,35,2,9319,1,2,4,2,1,89,1,3,3,2,1,44,2,2,1,1,3,1
455,50,2,15,2,8209,2,1,3,0,2,7,2,3,0,1,1,91,2,2,2,1,2,1
36359,40,2,22,2,5593,2,1,3,0,2,74,5,3,0,3,1,55,2,2,2,2,4,2
36048,50,1,19,3,8345,3,1,4,2,2,55,5,1,3,3,1,24,2,2,2,3,1,1
54081,23,2,4,1,4532,1,1,3,1,1,87,2,3,1,2,1,60,2,2,2,2,1,1
17189,43,2,24,1,3961,4,1,2,0,2,64,4,1,0,2,3,69,2,2,2,3,2,1
31516,25,2,2,2,7107,1,3,3,0,1,87,5,2,0,2,2,18,2,2,2,2,1,2
3586,37,2,20,1,3124,1,2,1,0,1,79,5,1,4,3,1,51,1,2,2,4,4,1
49198,34,2,7,2,8312,2,3,4,1,1,77,3,3,0,2,1,27,2,2,2,1,4,1
60686,36,2,11,5,8085,3,3,4,0,2,76,4,1,0,3,1,49,2,2,2,2,3,2
14616,48,2,8,1,4317,4,1,4,1,2,69,2,1,4,3,2,47,2,2,2,2,4,1
12605,20,1,7,4,6532,2,1,1,0,2,26,5,1,2,3,1,85,1,2,1,4,3,2
27617,57,2,24,4,6219,1,4,4,3,1,44,1,2,2,3,1,75,2,2,2,1,1,2
23602,46,1,26,3,8376,3,2,2,1,2,77,5,3,1,3,1,94,2,2,2,3,3,1
20883,18,1,8,2,7162,3,1,4,1,2,46,2,3,2,3,3,64,1,2,1,4,3,1
64272,22,2,1,4,6519,4,3,3,2,2,68,2,3,0,3,1,39,2,2,2,2,4,1
71141,26,1,16,3,5785,2,2,4,1,2,78,5,3,0,3,1,70,2,2,2,2,4,1
62438,40,1,23,3,8585,2,3,3,2,1,78,4,1,5,2,2,49,2,2,2,4,4,2
55672,19,1,7,4,5965,2,2,3,1,2,3,4,3,1,1,1,84,1,2,1,2,2,1
18843,18,1,5,1,5162,2,4,3,0,1,82,3,3,4,1,3,38,2,2,2,3,1,2
59459,29,2,17,4,5450,3,2,1,0,2,41,1,1,2,2,2,32,2,2,2,2,3,1
56488,24,2,4,1,3198,3,1,3,1,2,22,2,1,3,1,1,49,2,2,2,2,3,1
11062,24,2,15,3,9551,2,1,3,0,1,40,5,3,0,2,1,54,2,2,2,4,1,2
70350,41,2,19,5,9587,4,2,3,2,2,4,4,3,1,2,2,32,2,2,2,3,3,1
25065,18,2,9,2,8419,2,3,1,0,2,84,1,3,2,1,1,38,2,2,2,4,3,1
59563,55,1,43,4,5996,3,3,3,0,1,99,5,3,1,1,2,115,2,2,1,2,1,1
6080,32,1,18,5,9434,3,3,1,0,2,83,2,3,1,2,1,94,2,2,2,1,4,1
65256,50,1,18,5,8935,3,3,4,2,2,10,2,1,1,3,2,55,2,2,2,2,1,2
55816,28,2,13,5,6261,3,1,3,1,2,62,5,1,1,2,3,87,2,2,2,2,4,1
48154,18,2,2,5,8865,2,1,3,2,2,59,2,1,2,2,3,52,2,1,2,2,4,2
19598,30,2,2,1,3089,4,1,3,0,1,35,5,1,0,3,3,39,2,2,2,4,4,1
45711,38,2,10,2,6138,1,1,3,0,1,35,1,1,2,3,1,71,2,2,2,1,3,2
31921,46,2,6,3,7800,2,3,4,1,2,2,1,3,5,3,3,44,2,2,2,3,4,1
28968,27,1,5,4,7043,3,3,4,0,2,39,4,1,0,3,2,48,2,2,2,2,1,2
42658,59,2,3,2,8326,2,1,2,1,2,71,4,1,0,2,2,25,2,2,2,1,4,1
33024,34,2,19,5,7603,3,2,3,1,1,20,5,3,0,3,1,69,2,2,2,2,1,1
12971,49,2,33,3,12628,4,1,3,0,2,19,5,3,0,2,2,80,1,2,2,2,3,2
5719,53,2,4,1,3670,3,1,3,0,2,31,1,3,0,3,2,65,2,2,2,2,3,1
9331,26,2,11,5,9280,3,3,4,0,2,50,2,2,0,2,1,83,2,2,2,1,3,1
64168,45,2,9,4,7242,2,2,3,0,1,37,4,3,3,3,1,63,1,2,2,2,1,1
20332,20,2,11,2,9634,1,1,3,0,2,91,3,2,1,2,1,37,1,2,2,3,3,2
11169,52,2,17,4,5834,3,1,1,2,2,86,5,1,2,2,1,53,2,2,2,1,3,2
30757,43,1,26,1,3973,2,1,1,1,2,68,5,2,1,2,1,60,2,2,2,2,4,1
60983,18,1,8,4,6010,3,1,3,0,2,53,1,1,5,2,1,34,2,2,2,2,3,1
26913,31,2,1,4,5687,2,2,3,1,2,72,5,3,2,3,3,15,2,2,2,2,1,1
7546,22,2,6,1,3963,2,2,3,0,2,64,5,1,3,1,3,71,2,2,2,2,4,2
67990,53,1,22,4,4939,2,1,3,1,1,50,5,3,2,1,1,76,1,2,2,3,2,2
34301,22,2,11,3,8595,2,1,3,2,1,50,4,3,2,3,1,54,2,2,2,1,4,1
14321,25,2,8,2,8872,3,1,3,0,1,46,4,3,0,2,3,35,2,2,2,2,3,1
53135,39,2,30,2,8296,2,1,3,0,2,22,4,1,1,2,1,35,2,1,2,2,4,2
14669,54,1,6,1,3631,3,1,1,0,1,38,3,1,3,3,1,68,2,2,2,4,1,1
43491,56,1,4,4,6071,4,3,3,1,1,82,5,3,2,3,1,12,2,2,1,1,4,1
54054,38,2,26,1,4419,4,1,3,3,2,77,2,3,0,2,1,97,2,2,2,2,4,1
7163,19,2,5,5,7391,3,4,4,1,2,51,1,1,4,3,1,37,2,2,1,4,4,1
26780,57,2,45,5,10599,2,2,4,0,2,23,4,3,2,1,1,71,2,2,1,2,1,2
13903,35,2,8,4,6092,2,3,3,2,2,79,3,3,0,3,2,58,1,2,2,3,4,2
6649,40,2,16,2,8727,4,1,1,2,2,35,1,2,2,2,1,65,2,2,2,4,4,2
51846,41,2,6,2,7252,2,3,3,2,2,14,5,2,0,2,3,71,2,2,2,4,4,2
26809,33,2,6,5,11283,2,4,3,3,2,8,4,1,0,3,3,30,2,2,2,2,4,2
64951,42,1,22,5,9062,3,1,1,3,2,75,1,1,1,3,1,77,1,2,2,3,1,2
23719,54,2,1,2,7712,1,3,3,0,2,15,4,1,5,2,3,40,2,2,2,4,4,2
11190,33,2,23,1,5203,2,1,3,1,2,95,1,3,4,2,2,98,2,2,1,1,1,2
29869,21,2,10,5,8493,1,4,1,0,1,89,2,1,3,2,1,78,1,2,2,2,4,2
42562,58,2,8,2,8149,1,3,3,0,2,13,3,1,3,2,2,69,2,2,1,3,3,2
