id_conta,id_cliente,tipo_conta,status,data_abertura
100001,1,Corrente,Ativa,2019-01-04 07:46:38
100002,2,Corrente,Ativa,2019-08-16 11:35:35
100003,3,Corrente,Ativa,2021-12-24 12:19:22
100004,4,Digital,Ativa,2021-07-09 19:27:02
100005,5,Corrente,Ativa,2023-02-16 17:57:40
100006,6,Corrente,Ativa,2022-04-30 14:21:36
100007,7,Digital,Ativa,2023-12-11 06:28:30
100008,8,Corrente,Ativa,2018-08-05 10:21:59
100009,9,Digital,Ativa,2019-04-03 23:56:35
100010,10,Corrente,Ativa,2020-04-21 05:42:35
100011,11,Corrente,Ativa,2021-03-06 20:36:20
100012,12,Digital,Ativa,2020-05-11 00:05:27
100013,13,Corrente,Ativa,2021-02-17 06:22:28
100014,14,Digital,Ativa,2022-10-02 23:07:57
100015,15,Corrente,Ativa,2022-04-14 17:18:59
100016,16,Corrente,Ativa,2024-01-04 23:03:54
100017,17,Corrente,Ativa,2019-03-05 18:30:38
100018,18,Digital,Ativa,2019-07-04 16:48:19
100019,19,Digital,Encerrada,2021-11-07 06:59:08
100020,20,Corrente,Ativa,2018-07-18 17:44:53
100021,21,Corrente,Ativa,2021-08-31 03:28:41
100022,22,Digital,Ativa,2024-01-15 13:14:24
100023,23,Corrente,Ativa,2019-10-17 18:00:03
100024,24,Digital,Ativa,2025-09-20 14:29:49
100025,25,Corrente,Ativa,2018-01-30 02:50:08
100026,26,Corrente,Ativa,2025-12-27 12:53:18
100027,27,Corrente,Ativa,2024-05-31 09:09:47
100028,28,Digital,Ativa,2019-08-16 22:13:57
100029,29,Digital,Ativa,2025-05-16 13:31:19
100030,30,Digital,Ativa,2021-04-26 11:04:31
100031,31,Corrente,Bloqueada,2020-02-18 07:18:27
100032,32,Digital,Ativa,2020-03-18 18:30:15
100033,33,Digital,Ativa,2018-08-08 08:59:57
100034,34,Corrente,Ativa,2025-10-22 03:33:21
100035,35,Digital,Ativa,2024-08-18 14:32:04
100036,36,Corrente,Ativa,2019-12-24 08:48:46
100037,37,Corrente,Ativa,2019-07-22 13:00:45
100038,38,Corrente,Ativa,2024-08-03 17:07:10
100039,39,Corrente,Bloqueada,2020-03-27 05:11:46
100040,40,Corrente,Ativa,2025-08-17 04:10:53
100041,41,Corrente,Ativa,2018-03-08 04:56:28
100042,42,Corrente,Ativa,2018-06-20 04:46:00
100043,43,Digital,Ativa,2021-01-23 07:24:16
100044,44,Corrente,Ativa,2024-04-07 07:42:54
100045,45,Corrente,Ativa,2018-07-20 03:11:19
100046,46,Corrente,Ativa,2022-09-23 08:07:24
100047,47,Corrente,Ativa,2023-01-08 03:54:17
100048,48,Corrente,Ativa,2020-05-19 19:47:54
100049,49,Corrente,Ativa,2021-04-29 23:44:20
100050,50,Corrente,Ativa,2024-01-12 17:00:27
100051,51,Corrente,Ativa,2021-11-07 08:03:12
100052,52,Corrente,Ativa,2025-02-19 17:17:44
100053,53,Corrente,Ativa,2019-05-02 02:24:39
100054,54,Corrente,Ativa,2022-07-16 09:38:31
100055,55,Digital,Ativa,2025-05-13 17:07:49
100056,56,Corrente,Ativa,2020-12-15 19:12:43
100057,57,Digital,Ativa,2022-10-06 08:48:40
100058,58,Corrente,Ativa,2023-09-13 22:03:47
100059,59,Digital,Ativa,2025-04-03 05:17:57
100060,60,Digital,Ativa,2025-10-28 04:42:42
100061,61,Corrente,Ativa,2024-10-26 08:53:53
100062,62,Corrente,Ativa,2023-06-20 19:09:40
100063,63,Corrente,Ativa,2023-02-20 20:29:05
100064,64,Corrente,Ativa,2025-02-03 16:51:16
100065,65,Corrente,Bloqueada,2020-05-01 13:47:33
100066,66,Digital,Ativa,2021-06-13 08:37:43
100067,67,Digital,Ativa,2019-05-25 01:54:39
100068,68,Corrente,Ativa,2025-04-05 22:04:04
100069,69,Corrente,Ativa,2021-01-28 15:57:50
100070,70,Corrente,Encerrada,2023-11-05 20:33:47
100071,71,Corrente,Ativa,2020-01-03 02:22:25
100072,72,Digital,Ativa,2020-10-22 06:53:16
100073,73,Corrente,Ativa,2020-10-10 10:20:38
100074,74,Digital,Ativa,2025-11-09 22:26:12
100075,75,Corrente,Ativa,2021-07-16 14:44:12
100076,76,Corrente,Ativa,2023-05-02 17:57:14
100077,77,Corrente,Ativa,2021-02-13 00:27:29
100078,78,Corrente,Ativa,2025-07-08 15:20:59
100079,79,Digital,Ativa,2024-06-16 11:12:05
100080,80,Corrente,Ativa,2020-10-21 14:17:19
100081,81,Corrente,Ativa,2019-09-07 06:13:27
100082,82,Corrente,Ativa,2023-09-03 17:31:14
100083,83,Corrente,Ativa,2021-07-30 01:54:18
100084,84,Corrente,Ativa,2020-08-26 12:06:43
100085,85,Digital,Ativa,2025-06-24 22:23:55
100086,86,Corrente,Ativa,2018-09-02 20:32:53
100087,87,Corrente,Ativa,2024-01-26 18:07:46
100088,88,Digital,Bloqueada,2021-10-09 00:43:22
100089,89,Corrente,Ativa,2025-02-19 02:13:41
100090,90,Corrente,Ativa,2024-06-16 20:06:00
100091,91,Corrente,Ativa,2018-05-11 22:23:07
100092,92,Corrente,Ativa,2023-05-30 21:45:19
100093,93,Corrente,Ativa,2018-10-23 20:53:24
100094,94,Digital,Ativa,2020-02-11 00:31:29
100095,95,Corrente,Ativa,2025-12-06 00:57:13
100096,96,Digital,Ativa,2022-02-14 09:33:21
100097,97,Corrente,Ativa,2022-03-09 08:53:49
100098,98,Digital,Ativa,2018-07-10 06:18:34
100099,99,Digital,Ativa,2023-01-16 22:41:26
100100,100,Corrente,Ativa,2021-07-06 15:34:21
100101,101,Corrente,Ativa,2025-06-05 17:12:03
100102,102,Digital,Ativa,2025-09-02 03:59:52
100103,103,Corrente,Ativa,2022-01-01 05:58:48
100104,104,Corrente,Ativa,2019-06-10 01:13:19
100105,105,Corrente,Ativa,2023-11-12 16:43:49
100106,106,Digital,Ativa,2024-03-17 14:37:29
100107,107,Corrente,Ativa,2019-08-13 08:34:36
100108,108,Corrente,Ativa,2023-09-30 03:21:56
100109,109,Digital,Ativa,2022-10-30 15:33:26
100110,110,Corrente,Ativa,2018-11-26 00:23:00
100111,111,Corrente,Ativa,2019-08-01 22:50:48
100112,112,Corrente,Ativa,2022-04-24 19:13:02
100113,113,Digital,Ativa,2023-01-01 11:50:14
100114,114,Corrente,Ativa,2025-06-22 04:16:46
100115,115,Digital,Ativa,2024-08-14 00:03:47
100116,116,Digital,Ativa,2025-11-03 18:42:08
100117,117,Corrente,Ativa,2025-03-29 08:29:18
100118,118,Corrente,Ativa,2018-12-31 02:57:23
100119,119,Digital,Ativa,2024-12-21 18:20:11
100120,120,Corrente,Ativa,2019-09-10 19:05:17
100121,121,Corrente,Ativa,2018-02-18 20:14:10
100122,122,Corrente,Encerrada,2022-01-23 09:47:44
100123,123,Digital,Ativa,2022-01-02 09:29:00
100124,124,Corrente,Ativa,2019-08-30 06:31:37
100125,125,Corrente,Ativa,2025-02-09 17:08:51
100126,126,Corrente,Ativa,2025-09-29 20:52:38
100127,127,Corrente,Ativa,2023-06-28 19:24:01
100128,128,Corrente,Ativa,2020-05-26 02:49:00
100129,129,Corrente,Ativa,2019-04-05 12:32:27
100130,130,Corrente,Ativa,2018-02-05 22:05:31
100131,131,Corrente,Ativa,2022-04-22 02:48:30
100132,132,Corrente,Encerrada,2019-05-15 10:59:18
100133,133,Corrente,Ativa,2019-07-12 10:49:02
100134,134,Digital,Ativa,2018-10-13 08:09:09
100135,135,Corrente,Ativa,2021-12-24 21:32:24
100136,136,Corrente,Ativa,2025-02-08 05:26:18
100137,137,Corrente,Ativa,2023-03-06 10:34:41
100138,138,Digital,Ativa,2022-06-10 07:55:41
100139,139,Digital,Ativa,2022-07-18 19:34:38
100140,140,Corrente,Ativa,2020-02-27 04:26:20
100141,141,Digital,Ativa,2020-03-23 02:19:54
100142,142,Corrente,Ativa,2023-12-05 08:58:29
100143,143,Corrente,Ativa,2024-05-08 02:30:13
100144,144,Corrente,Ativa,2021-09-13 10:24:18
100145,145,Corrente,Ativa,2023-07-31 11:33:25
100146,146,Corrente,Ativa,2025-09-17 21:23:20
100147,147,Digital,Ativa,2018-09-15 17:30:37
100148,148,Corrente,Ativa,2018-08-25 19:26:35
100149,149,Corrente,Ativa,2021-07-06 22:11:40
100150,150,Corrente,Ativa,2019-08-31 23:43:38
100151,151,Corrente,Ativa,2020-09-03 07:35:30
100152,152,Digital,Ativa,2024-07-13 12:07:13
100153,153,Corrente,Ativa,2022-12-15 20:26:31
100154,154,Corrente,Ativa,2025-02-26 06:06:36
100155,155,Digital,Ativa,2025-05-18 12:14:53
100156,156,Digital,Ativa,2023-01-12 14:45:32
100157,157,Digital,Ativa,2018-05-25 20:54:06
100158,158,Corrente,Ativa,2021-10-30 16:48:50
100159,159,Digital,Ativa,2018-12-05 20:44:47
100160,160,Corrente,Bloqueada,2025-10-23 11:23:26
100161,161,Corrente,Bloqueada,2018-05-20 21:38:03
100162,162,Digital,Ativa,2019-03-28 19:05:50
100163,163,Corrente,Ativa,2023-12-01 06:11:16
100164,164,Corrente,Ativa,2022-03-17 08:19:13
100165,165,Digital,Ativa,2018-08-19 08:38:09
100166,166,Corrente,Ativa,2018-09-01 04:10:13
100167,167,Corrente,Ativa,2018-01-13 23:12:29
100168,168,Corrente,Ativa,2024-03-14 03:53:25
100169,169,Digital,Ativa,2019-02-19 03:11:55
100170,170,Corrente,Ativa,2022-08-09 09:50:19
100171,171,Corrente,Ativa,2024-05-27 15:47:50
100172,172,Corrente,Encerrada,2020-10-17 11:22:07
100173,173,Corrente,Ativa,2021-10-19 02:10:04
100174,174,Digital,Ativa,2024-06-06 22:20:03
100175,175,Corrente,Ativa,2024-02-07 16:16:57
100176,176,Corrente,Ativa,2024-04-29 03:10:11
100177,177,Digital,Ativa,2019-03-30 18:44:44
100178,178,Corrente,Ativa,2019-01-24 04:48:34
100179,179,Digital,Ativa,2024-12-07 01:23:43
100180,180,Corrente,Ativa,2019-12-22 13:48:00
100181,181,Corrente,Bloqueada,2024-12-05 00:53:07
100182,182,Corrente,Ativa,2019-12-24 12:37:27
100183,183,Corrente,Ativa,2019-09-18 08:02:28
100184,184,Digital,Ativa,2021-08-18 22:07:18
100185,185,Digital,Ativa,2025-09-03 21:26:10
100186,186,Corrente,Ativa,2024-12-31 22:01:22
100187,187,Digital,Ativa,2023-08-05 04:17:30
100188,188,Corrente,Ativa,2021-05-09 01:21:09
100189,189,Corrente,Ativa,2022-11-28 09:31:37
100190,190,Digital,Ativa,2024-12-10 17:30:27
100191,191,Corrente,Ativa,2019-11-18 02:40:07
100192,192,Corrente,Ativa,2023-10-20 20:00:34
100193,193,Corrente,Ativa,2024-06-15 17:11:32
100194,194,Corrente,Bloqueada,2020-03-17 01:34:24
100195,195,Corrente,Ativa,2024-03-27 14:18:37
100196,196,Digital,Ativa,2019-08-08 15:20:32
100197,197,Digital,Ativa,2023-10-01 14:40:23
100198,198,Corrente,Ativa,2021-09-11 22:58:39
100199,199,Corrente,Ativa,2024-10-10 06:33:26
100200,200,Corrente,Ativa,2022-05-21 12:46:24
100201,201,Corrente,Ativa,2018-03-24 01:15:17
100202,202,Corrente,Ativa,2019-11-10 03:07:45
100203,203,Digital,Ativa,2018-08-09 11:52:11
100204,204,Corrente,Ativa,2020-07-26 10:20:00
100205,205,Corrente,Ativa,2021-06-25 16:08:41
100206,206,Corrente,Ativa,2024-10-17 21:08:52
100207,207,Digital,Ativa,2018-07-09 09:16:20
100208,208,Digital,Ativa,2022-09-28 04:57:37
100209,209,Corrente,Ativa,2018-11-30 12:07:00
100210,210,Corrente,Ativa,2024-07-30 13:04:29
100211,211,Digital,Ativa,2022-03-16 11:12:14
100212,212,Corrente,Ativa,2018-05-16 09:37:26
100213,213,Digital,Bloqueada,2025-09-29 00:40:19
100214,214,Corrente,Ativa,2021-03-08 09:24:12
100215,215,Digital,Ativa,2019-06-08 16:38:54
100216,216,Corrente,Ativa,2018-11-10 05:04:52
100217,217,Digital,Ativa,2025-09-01 05:11:22
100218,218,Digital,Ativa,2022-05-24 02:10:45
100219,219,Corrente,Ativa,2024-03-17 02:08:28
100220,220,Corrente,Ativa,2024-01-23 05:00:39
100221,221,Corrente,Ativa,2024-01-21 22:46:37
100222,222,Digital,Ativa,2019-05-18 08:12:40
100223,223,Corrente,Ativa,2021-03-07 18:34:18
100224,224,Corrente,Ativa,2022-06-07 15:36:25
100225,225,Corrente,Ativa,2019-09-05 02:50:15
100226,226,Corrente,Ativa,2018-05-24 21:13:58
100227,227,Corrente,Ativa,2020-07-29 16:47:20
100228,228,Corrente,Ativa,2021-07-08 10:05:28
100229,229,Digital,Ativa,2021-09-02 12:13:25
100230,230,Corrente,Bloqueada,2019-06-06 03:29:31
100231,231,Corrente,Ativa,2022-11-19 08:12:43
100232,232,Corrente,Ativa,2019-09-18 04:13:14
100233,233,Corrente,Ativa,2021-05-30 22:50:47
100234,234,Corrente,Ativa,2020-02-22 21:13:19
100235,235,Corrente,Ativa,2025-12-22 01:09:38
100236,236,Corrente,Ativa,2025-06-21 05:56:16
100237,237,Corrente,Ativa,2018-11-12 16:42:20
100238,238,Corrente,Ativa,2024-09-05 14:17:15
100239,239,Corrente,Ativa,2021-10-06 05:07:31
100240,240,Corrente,Ativa,2019-09-23 23:53:01
100241,241,Digital,Ativa,2022-12-20 11:18:16
100242,242,Corrente,Ativa,2024-10-10 07:19:56
100243,243,Corrente,Ativa,2020-09-15 13:07:19
100244,244,Corrente,Ativa,2024-04-02 15:37:33
100245,245,Corrente,Ativa,2021-07-18 18:31:41
100246,246,Corrente,Bloqueada,2022-11-07 08:15:33
100247,247,Corrente,Ativa,2019-10-15 06:09:06
100248,248,Corrente,Ativa,2020-06-06 07:08:50
100249,249,Corrente,Ativa,2020-09-13 21:29:26
100250,250,Digital,Ativa,2019-05-30 04:57:49
100251,251,Corrente,Ativa,2025-07-26 11:10:12
100252,252,Digital,Ativa,2023-06-08 06:35:14
100253,253,Corrente,Ativa,2021-01-19 16:51:07
100254,254,Corrente,Ativa,2022-04-30 21:50:35
100255,255,Digital,Ativa,2025-01-14 04:23:07
100256,256,Corrente,Ativa,2018-05-24 16:16:48
100257,257,Corrente,Ativa,2025-06-15 21:05:46
100258,258,Corrente,Ativa,2021-07-25 10:53:28
100259,259,Corrente,Ativa,2018-04-05 10:29:46
100260,260,Digital,Ativa,2023-01-31 20:47:23
100261,261,Corrente,Ativa,2018-12-20 18:25:31
100262,262,Digital,Ativa,2025-11-26 07:19:32
100263,263,Digital,Ativa,2024-10-31 11:06:18
100264,264,Corrente,Bloqueada,2018-07-14 07:45:03
100265,265,Corrente,Ativa,2021-02-07 16:35:10
100266,266,Corrente,Ativa,2023-12-07 11:44:38
100267,267,Corrente,Ativa,2022-06-14 20:56:41
100268,268,Corrente,Ativa,2022-09-19 20:42:38
100269,269,Corrente,Ativa,2018-02-03 00:40:40
100270,270,Digital,Ativa,2020-12-21 02:54:11
100271,271,Digital,Ativa,2022-11-11 22:08:28
100272,272,Corrente,Ativa,2018-01-18 00:42:22
100273,273,Digital,Ativa,2022-10-02 20:07:55
100274,274,Digital,Encerrada,2023-03-15 15:08:58
100275,275,Corrente,Ativa,2024-12-19 05:44:52
100276,276,Corrente,Ativa,2025-07-11 19:43:30
100277,277,Corrente,Ativa,2024-06-26 22:19:02
100278,278,Corrente,Bloqueada,2022-07-17 15:29:32
100279,279,Corrente,Ativa,2019-04-07 03:22:54
100280,280,Corrente,Ativa,2025-09-25 10:26:24
100281,281,Digital,Ativa,2018-08-31 13:11:51
100282,282,Corrente,Ativa,2019-04-02 09:58:20
100283,283,Digital,Ativa,2018-03-19 03:31:31
100284,284,Digital,Ativa,2019-10-21 10:49:29
100285,285,Digital,Ativa,2024-08-20 22:50:38
100286,286,Corrente,Ativa,2024-01-25 22:44:51
100287,287,Corrente,Ativa,2024-12-02 02:00:42
100288,288,Digital,Bloqueada,2021-08-02 21:17:42
100289,289,Corrente,Bloqueada,2025-02-16 15:40:13
100290,290,Digital,Ativa,2018-08-12 20:46:51
100291,291,Digital,Ativa,2023-03-08 18:44:54
100292,292,Corrente,Ativa,2024-01-21 17:25:39
100293,293,Corrente,Ativa,2021-03-21 23:01:41
100294,294,Corrente,Ativa,2019-01-02 09:11:51
100295,295,Digital,Ativa,2020-05-18 02:58:01
100296,296,Corrente,Ativa,2022-08-15 22:42:07
100297,297,Corrente,Ativa,2021-06-25 13:39:25
100298,298,Corrente,Ativa,2019-02-23 06:56:35
100299,299,Digital,Bloqueada,2018-01-31 00:15:08
100300,300,Corrente,Ativa,2018-02-03 14:45:20
100301,301,Corrente,Ativa,2018-02-22 08:48:54
100302,302,Corrente,Ativa,2025-11-12 06:04:33
100303,303,Corrente,Ativa,2021-04-02 16:37:46
100304,304,Digital,Ativa,2021-10-12 12:26:52
100305,305,Corrente,Ativa,2019-03-05 03:36:02
100306,306,Corrente,Ativa,2024-02-25 19:48:23
100307,307,Corrente,Ativa,2022-12-06 08:40:49
100308,308,Digital,Ativa,2020-11-06 08:43:13
100309,309,Corrente,Ativa,2020-09-06 22:44:03
100310,310,Corrente,Ativa,2025-06-05 00:56:37
100311,311,Corrente,Ativa,2018-05-24 06:26:34
100312,312,Corrente,Ativa,2021-07-30 23:17:37
100313,313,Corrente,Ativa,2020-03-13 14:52:40
100314,314,Corrente,Ativa,2020-07-07 07:59:55
100315,315,Digital,Ativa,2018-06-04 19:05:21
100316,316,Corrente,Bloqueada,2020-12-11 22:43:20
100317,317,Corrente,Ativa,2018-03-07 02:38:55
100318,318,Digital,Ativa,2021-02-14 15:05:50
100319,319,Corrente,Bloqueada,2019-04-03 21:58:46
100320,320,Corrente,Ativa,2024-11-19 08:32:58
100321,321,Digital,Ativa,2021-01-10 04:55:30
100322,322,Digital,Ativa,2020-10-28 21:17:44
100323,323,Digital,Ativa,2024-04-25 20:10:48
100324,324,Corrente,Ativa,2023-02-03 04:18:29
100325,325,Corrente,Ativa,2023-04-22 12:14:41
100326,326,Digital,Ativa,2024-02-03 13:45:58
100327,327,Corrente,Ativa,2022-04-27 12:42:59
100328,328,Digital,Ativa,2021-06-17 04:35:18
