customer_id,customer_value_segment,customer_value_score,total_transaction_amount,total_transaction_count,credit_limit,avg_credit_utilization,months_inactive_last_year,contacts_last_year,months_as_customer,customer_age,gender,education_level,income_category,marital_status,card_category,attrition_flag
768805383,Medium_Value,0.1796278723929498,1144,42,12691.0,0.061,1,3,39,45,M,High School,$60K - $80K,Married,Blue,Existing Customer
818770008,Low_Value,0.150269661701439,1291,33,8256.0,0.105,1,2,44,49,F,Graduate,Less than $40K,Single,Blue,Existing Customer
713982108,Low_Value,0.0904824789050636,1887,20,3418.0,0.0,1,0,36,51,M,Graduate,$80K - $120K,Married,Blue,Existing Customer
769911858,Low_Value,-0.0057376797669674,1171,20,3313.0,0.76,4,1,34,40,F,High School,Less than $40K,Unknown,Blue,Existing Customer
709106358,Low_Value,0.0551163941892943,816,28,4716.0,0.0,1,0,21,40,M,Uneducated,$60K - $80K,Married,Blue,Existing Customer
713061558,Low_Value,0.0840326281295429,1088,24,4010.0,0.311,1,2,36,44,M,Graduate,$40K - $60K,Married,Blue,Existing Customer
810347208,High_Value,0.3106904417491933,1330,31,34516.0,0.066,1,3,46,51,M,Unknown,$120K +,Married,Gold,Existing Customer
818906208,Medium_Value,0.222961207319115,1538,36,29081.0,0.048,2,2,27,32,M,High School,$60K - $80K,Unknown,Silver,Existing Customer
710930508,Medium_Value,0.1757657837530966,1350,24,22352.0,0.113,2,0,36,37,M,Uneducated,$60K - $80K,Single,Blue,Existing Customer
719661558,Low_Value,0.1036228378244597,1441,32,11656.0,0.144,3,3,36,48,M,Graduate,$80K - $120K,Single,Blue,Existing Customer
708790833,Low_Value,0.0763581455895959,1201,42,6748.0,0.217,3,2,31,42,M,Uneducated,$120K +,Unknown,Blue,Existing Customer
710821833,Low_Value,0.1405443387342649,1314,26,9095.0,0.174,2,3,54,65,M,Unknown,$40K - $60K,Married,Blue,Existing Customer
710599683,Low_Value,0.0023084035025308,1539,17,11751.0,0.0,6,0,36,56,M,College,$80K - $120K,Single,Blue,Existing Customer
816082233,Low_Value,0.119916103071029,1311,33,8547.0,0.195,1,3,30,35,M,Graduate,$60K - $80K,Unknown,Blue,Existing Customer
712396908,Low_Value,0.0978391466867765,1570,29,2436.0,0.279,2,2,48,57,F,Graduate,Less than $40K,Married,Blue,Existing Customer
714885258,Low_Value,0.0993126853346717,1348,27,4234.0,0.23,1,2,37,44,M,Unknown,$80K - $120K,Unknown,Blue,Existing Customer
709967358,Medium_Value,0.2371850415955126,1671,27,30367.0,0.078,2,3,36,48,M,Post-Graduate,$80K - $120K,Single,Blue,Existing Customer
753327333,Low_Value,0.0548239203265241,1028,21,13535.0,0.095,4,1,34,41,M,Unknown,$80K - $120K,Married,Blue,Existing Customer
806160108,Low_Value,0.117751362163159,1336,30,3193.0,0.788,2,3,56,61,M,High School,$40K - $60K,Married,Blue,Existing Customer
709327383,Low_Value,0.1464375518646536,1207,21,14470.0,0.08,1,2,37,45,F,Graduate,Unknown,Married,Blue,Existing Customer
806165208,Medium_Value,0.1834038089448809,1178,27,20979.0,0.086,2,0,42,47,M,Doctorate,$60K - $80K,Divorced,Blue,Existing Customer
708508758,Low_Value,0.0243991320796706,692,16,1438.3,0.0,3,3,49,62,F,Graduate,Less than $40K,Married,Blue,Attrited Customer
784725333,Low_Value,0.0397153713017969,931,18,4470.0,0.152,2,1,33,41,M,High School,$40K - $60K,Married,Blue,Existing Customer
811604133,Low_Value,0.0237619205296187,1126,23,2492.0,0.626,3,2,36,47,F,Unknown,Less than $40K,Single,Blue,Existing Customer
789124683,Low_Value,0.1172843144736829,1110,21,12217.0,0.0,2,3,42,54,M,Unknown,$80K - $120K,Married,Blue,Existing Customer
771071958,Low_Value,0.0834508533688262,1051,22,7768.0,0.215,1,2,28,41,F,Graduate,Less than $40K,Single,Blue,Existing Customer
720466383,Medium_Value,0.1729197697979228,1197,23,14784.0,0.093,1,2,46,59,M,High School,$40K - $60K,Unknown,Blue,Existing Customer
804424383,Medium_Value,0.1672292952098177,1904,40,10215.0,0.099,3,2,56,63,M,Unknown,$60K - $80K,Married,Blue,Existing Customer
718813833,Low_Value,0.0787747920509296,1052,18,10100.0,0.0,2,2,34,44,F,Uneducated,Unknown,Single,Blue,Existing Customer
806624208,Low_Value,0.1538468980949384,1045,38,4785.0,0.285,0,0,42,47,M,High School,$40K - $60K,Married,Blue,Existing Customer
778348233,Low_Value,0.0452808634707207,1038,25,2753.0,0.658,2,3,33,53,M,Unknown,$80K - $120K,Married,Blue,Existing Customer
712991808,Low_Value,0.0176945022954421,1596,26,2451.0,0.69,5,1,48,53,M,Uneducated,$60K - $80K,Married,Blue,Existing Customer
709029408,Low_Value,0.1248878800934627,1589,24,8923.0,0.282,1,2,36,41,M,Graduate,$60K - $80K,Married,Blue,Existing Customer
788658483,Low_Value,0.0704008269136717,1411,28,2650.0,0.562,2,3,38,53,F,College,Less than $40K,Married,Blue,Existing Customer
787937058,Low_Value,0.1454490511601279,1291,24,12555.0,0.135,2,2,49,58,M,Graduate,$80K - $120K,Married,Blue,Existing Customer
715318008,Low_Value,0.0999907556545753,1407,43,3520.0,0.544,2,1,36,55,F,College,Less than $40K,Single,Blue,Existing Customer
713962233,Low_Value,0.0958899121049099,1877,37,3035.0,0.757,2,3,36,55,F,Graduate,Less than $40K,Married,Blue,Existing Customer
785432733,Low_Value,0.096509306350316,966,22,15433.0,0.0,3,3,36,42,F,High School,Less than $40K,Married,Gold,Existing Customer
715190283,Low_Value,0.0783410934756635,1464,28,3672.0,0.241,3,2,49,57,F,Graduate,$40K - $60K,Unknown,Blue,Existing Customer
708300483,Low_Value,0.0549062461026183,704,16,7882.0,0.077,4,3,56,66,F,Doctorate,Unknown,Married,Blue,Attrited Customer
827111283,High_Value,0.250693453602521,1109,28,32426.0,0.018,2,2,41,45,M,Graduate,$80K - $120K,Single,Blue,Existing Customer
758551608,Low_Value,0.1294248797292262,1347,28,6205.0,0.355,1,0,44,51,M,Unknown,$40K - $60K,Married,Blue,Existing Customer
773146383,Medium_Value,0.1879999133741665,1756,33,17304.0,0.145,2,3,43,50,F,College,$40K - $60K,Single,Silver,Existing Customer
778493808,Low_Value,0.091099180490894,1756,32,3906.0,0.0,2,1,37,49,M,High School,$60K - $80K,Married,Blue,Existing Customer
720572508,Low_Value,0.0476561626909581,1042,23,9830.0,0.209,3,3,28,38,F,Graduate,Unknown,Single,Blue,Existing Customer
712661433,Medium_Value,0.2452041838210749,1444,28,34516.0,0.0,2,3,30,49,M,Uneducated,$80K - $120K,Single,Blue,Existing Customer
789172683,Low_Value,0.0898668357871299,1741,27,2283.0,0.626,2,0,45,56,M,Doctorate,$60K - $80K,Married,Blue,Existing Customer
738406533,Low_Value,0.1072585974176002,1719,27,2548.0,0.793,2,2,52,59,M,Doctorate,$40K - $60K,Married,Blue,Existing Customer
799723908,Low_Value,0.145424038308977,1217,27,19458.0,0.074,3,3,40,46,M,High School,$80K - $120K,Married,Blue,Existing Customer
771490833,Low_Value,0.1299440144170102,1140,40,4745.0,0.259,1,1,40,52,M,College,$80K - $120K,Single,Blue,Existing Customer
720756708,Low_Value,0.0664770313278835,1878,30,2622.0,0.591,3,2,41,52,F,Unknown,Less than $40K,Married,Blue,Existing Customer
779471883,Low_Value,0.009572159786358,705,19,1438.3,0.562,3,1,40,54,F,Graduate,Less than $40K,Married,Blue,Attrited Customer
711525033,Low_Value,0.0920462193360256,1946,38,3171.0,0.687,4,2,54,66,F,High School,Less than $40K,Married,Blue,Existing Customer
712813458,Medium_Value,0.1828538418088373,1414,35,19763.0,0.127,2,0,36,49,M,Unknown,$120K +,Married,Blue,Existing Customer
714374133,Low_Value,0.0768744053251765,602,15,15769.0,0.0,3,3,36,56,M,Graduate,$120K +,Married,Blue,Attrited Customer
717891558,Low_Value,0.0194303317101576,1052,32,3298.0,0.667,4,2,36,49,F,Graduate,Less than $40K,Unknown,Blue,Existing Customer
716632758,Low_Value,0.0873430196362843,1295,40,2802.0,0.843,2,0,36,49,F,Graduate,Less than $40K,Single,Blue,Existing Customer
768563658,Low_Value,0.111466931182655,1424,29,4458.0,0.422,2,3,50,56,M,Uneducated,$40K - $60K,Married,Blue,Existing Customer
711427458,Low_Value,0.1033588992251298,1359,25,6273.0,0.156,1,2,35,44,F,Graduate,Unknown,Married,Blue,Existing Customer
714091983,Low_Value,0.0079005151046381,1168,27,3336.0,0.525,4,3,34,42,M,High School,$60K - $80K,Single,Blue,Existing Customer
787584108,Low_Value,0.0987855570949779,1097,33,3436.0,0.587,2,3,47,55,M,Unknown,$80K - $120K,Married,Blue,Existing Customer
712030833,Low_Value,0.1648807536812433,691,15,34516.0,0.0,4,4,35,48,M,Graduate,$60K - $80K,Married,Silver,Attrited Customer
711481533,Low_Value,0.051466661869602,1316,28,5926.0,0.211,3,3,33,39,M,High School,$60K - $80K,Divorced,Blue,Existing Customer
710082708,Low_Value,0.1283970271965857,1276,26,23957.0,0.088,4,2,32,44,M,Post-Graduate,$120K +,Single,Blue,Existing Customer
708155733,Low_Value,0.1450136903294026,1289,23,14734.0,0.111,2,2,44,53,M,High School,$120K +,Single,Blue,Existing Customer
788979258,High_Value,0.2932003634880012,1293,32,34516.0,0.044,1,4,38,51,M,Uneducated,$80K - $120K,Single,Silver,Existing Customer
807986133,Low_Value,0.1140205226510348,1353,35,6584.0,0.276,3,3,52,57,M,College,$60K - $80K,Married,Blue,Existing Customer
788730933,Low_Value,-0.0060908519111041,1132,28,2084.0,0.704,3,3,20,44,F,Uneducated,Less than $40K,Single,Blue,Existing Customer
711314058,Low_Value,0.03507073631288,1670,17,1687.0,0.656,2,2,32,49,M,Graduate,$60K - $80K,Married,Blue,Existing Customer
717975333,Medium_Value,0.1693832931983601,837,15,25300.0,0.053,2,2,38,50,M,Doctorate,$80K - $120K,Married,Blue,Existing Customer
715971108,High_Value,0.3006639219613517,1550,41,34516.0,0.051,2,3,42,51,M,Graduate,$120K +,Single,Blue,Existing Customer
720096558,Low_Value,0.0704537174510874,1540,36,2216.0,0.467,3,3,42,55,F,Graduate,Less than $40K,Married,Blue,Existing Customer
